OrgName,ArrivalDate,ArrivalTime,DepartureDate,DepartureTime,AttendeeCategory
Michigan Student Ministries ,"Jul 19, 2026",12:00:00 AM,"Jul 22, 2026",11:59:59 PM,Children
Michigan Student Ministries ,"Jul 19, 2026",12:00:00 AM,"Jul 22, 2026",11:59:59 PM,Staff
Michigan Student Ministries ,"Jul 12, 2026",12:00:00 AM,"Jul 15, 2026",11:59:59 PM,Staff
Michigan Student Ministries ,"Jul 12, 2026",12:00:00 AM,"Jul 15, 2026",11:59:59 PM,Youth
Michigan Student Ministries ,"Jul 22, 2026",12:00:00 AM,"Jul 25, 2026",11:59:59 PM,Children
Michigan Student Ministries ,"Jul 22, 2026",12:00:00 AM,"Jul 25, 2026",11:59:59 PM,Staff
Michigan Student Ministries ,"Jul 8, 2026",12:00:00 AM,"Jul 11, 2026",11:59:59 PM,Staff
Michigan Student Ministries ,"Jul 8, 2026",12:00:00 AM,"Jul 11, 2026",11:59:59 PM,Youth
Michigan Student Ministries ,"Jul 15, 2026",12:00:00 AM,"Jul 18, 2026",11:59:59 PM,
